"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","vid_length","vid_views","vid_rating","weight","info_text"
"Tawny Ocean",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"5,602","
				11517			",NA,NA,NA,"Weight:
							138 lbs (63 kg)","Born:
							1964-02-15,Birthplace:
							New York City, New York, United States of America,Height:
							5 ft 10 in (178 cm),Weight:
							138 lbs (63 kg),Website:
							Official Site"
"Sierra Sanchez",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"2,844,351","
				11519			",NA,NA,NA,"Weight:
							110 lbs (50 kg)","Birthplace:
							Panama,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)"
"Sheila Scott",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"18,522","
				11521			",NA,NA,NA,NA,"Born:
							1980-01-21,Birthplace:
							Hungary,Height:
							5 ft 6 in (168 cm)"
"Angelica Jordan",NA,NA,NA,NA,NA,NA,NA,NA,"54,068","
				11522			",NA,NA,NA,NA,""
"Sammi Pie",NA,NA,NA,NA,NA,NA,NA,NA,"31,149","
				11523			",NA,NA,NA,NA,""
"Stella Johanssen",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"186,950","
				11524			",NA,NA,NA,NA,"Born:
							1989-04-15,Birthplace:
							France,Height:
							5 ft 8 in (173 cm)"
"Patricia Well",NA,NA,NA,NA,NA,NA,NA,NA,"55,208","
				11527			",NA,NA,NA,NA,""
"Bruna Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"152,425","
				11528			",NA,NA,NA,NA,"Birthplace:
							Brazil"
"Janae Jolie",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"45,889","
				11529			",NA,NA,NA,"Weight:
							112 lbs (51 kg)","Born:
							1984-09-19,Birthplace:
							Oakland, California, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							112 lbs (51 kg)"
"Molly Alize",NA,NA,NA,NA,NA,NA,NA,NA,"13,647","
				11530			",NA,NA,NA,NA,""
"Antonia Starr",NA,NA,NA,NA,NA,NA,NA,NA,"67,139","
				11531			",NA,NA,NA,NA,""
"Jessika Kane",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"4,921","
				11532			",NA,NA,NA,"Weight:
							121 lbs (55 kg)","Born:
							1982-10-07,Birthplace:
							New Jersey, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							121 lbs (55 kg)"
"Dakota Cameron",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"2,113,486","
				11535			",NA,NA,NA,NA,"Born:
							1985-01-11,Birthplace:
							Woodland Hills, California, United States of America,Height:
							5 ft 5 in (165 cm)"
"Priska Farel",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"320,409","
				11536			",NA,NA,NA,"Weight:
							99 lbs (45 kg)","Birthplace:
							France,Height:
							5 ft 6 in (168 cm),Weight:
							99 lbs (45 kg)"
"Ines Ventura",NA,NA,NA,NA,NA,NA,NA,NA,"2,300,640","
				11542			",NA,NA,NA,NA,""
"Stephanie DuValle",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"3,200","
				11543			",NA,NA,NA,"Weight:
							110 lbs (50 kg)","Born:
							1969-08-09,Birthplace:
							Trenton, New Jersey, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							110 lbs (50 kg)"
"Lynna Fox",NA,NA,NA,NA,NA,NA,NA,NA,"4,445","
				11546			",NA,NA,NA,NA,""
"Scarlet Lovatt",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"290,781","
				11549			",NA,NA,NA,"Weight:
							112 lbs (51 kg)","Born:
							1990-09-18,Birthplace:
							Dudley, England,Height:
							5 ft 7 in (170 cm),Weight:
							112 lbs (51 kg)"
"Steffi Kraft",NA,NA,NA,NA,NA,NA,NA,NA,"64,594","
				11551			",NA,NA,NA,NA,""
"Olga Petrova",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"9,501","
				11552			",NA,NA,NA,"Weight:
							110 lbs (50 kg)","Born:
							1992-06-29,Birthplace:
							Russia,Height:
							5 ft 2 in (157 cm),Weight:
							110 lbs (50 kg)"
"Kelly Lemos",NA,NA,NA,NA,NA,NA,NA,NA,"6,540","
				11553			",NA,NA,NA,NA,""
"Aya Eikura",NA,NA,NA,NA,NA,NA,NA,NA,"63,233","
				11554			",NA,NA,NA,NA,""
"Kirsty Waay",NA,NA,NA,NA,NA,NA,NA,NA,"49,984","
				11555			",NA,NA,NA,NA,"Born:
							1972-10-04,Birthplace:
							United States of America"
"Mandi Wine",NA,NA,NA,NA,NA,NA,NA,NA,"44,319","
				11556			",NA,NA,NA,NA,""
"Trinity Paris",NA,NA,NA,NA,NA,NA,NA,NA,"106,081","
				11557			",NA,NA,NA,NA,""
"Kate Pearl",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"102,863","
				11558			",NA,NA,NA,NA,"Born:
							1990-08-06,Birthplace:
							Hungary,Height:
							5 ft 2 in (157 cm)"
"Teri Diver",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"10,653","
				11559			",NA,NA,NA,NA,"Born:
							1965-09-06,Birthplace:
							Hawthorne, California, United States of America,Height:
							5 ft 0 in (152 cm)"
"Patty Amor",NA,NA,NA,NA,NA,NA,NA,NA,"20,973","
				11560			",NA,NA,NA,NA,"Birthplace:
							Ecuador"
"Natalie Love","Gender:
							Female","Jun 15, 1990","Measurements:
								--",NA,"Pornstar Profile Views:
								41","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        617        ","
        43.7K        ","
                                                            
                                                    11561            ",NA,NA,NA,NA,"Gender:
							Female,Birthday:
							Jun 15, 1990,Age:
							28,Measurements:
								--,Interests and hobbies:
								Party, Kino und Sex,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Lünen,City and Country:
							Dortmund, DE,Turn Ons:
								Große Schwänze,Turn Offs:
								Mundgeruch,Pornstar Profile Views:
								41,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                4,748,Videos Watched:
                                21,Joined:
                                10 months ago"
"Morgan Simpson",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"294,134","
				11564			",NA,NA,NA,NA,"Height:
							5 ft 2 in (157 cm)"
"Agatha Rangel",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"214,856","
				11566			",NA,NA,NA,"Weight:
							121 lbs (55 kg)","Born:
							1985-04-27,Birthplace:
							Sao Paulo, Brazil,Height:
							5 ft 6 in (168 cm),Weight:
							121 lbs (55 kg)"
"Amber Leah","Gender:
							Male","Sep 3, 1971","Measurements:
								--",NA,"Pornstar Profile Views:
								14742","Career Status:
							Active
                        ","Interested in:
							Girls","
        1.4K        ","
        407K        ","
                                                            
                                                    11568            ",NA,NA,NA,NA,"Gender:
							Male,Birthday:
							Sep 3, 1971,Age:
							47,Measurements:
								--,Interests and hobbies:
								Writing and filming.,Relationship status:
							Taken,Interested in:
							Girls,City and Country:
							Sin City, US,Turn Ons:
								Total dominance, Shaved pussy for sure, hard sucking oral and good hand job.,Turn Offs:
								Finger near or close to my asshole immediate turn off but the tongue is ok... just saying.,Pornstar Profile Views:
								14742,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                14,986,Videos Watched:
                                570,Joined:
                                3 years ago"
"Silvy Taylor",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"21,491","
				11570			",NA,NA,NA,NA,"Born:
							1980-12-16,Birthplace:
							Hungary,Height:
							5 ft 9 in (175 cm)"
"Simone Clair",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"369,322","
				11571			",NA,NA,NA,"Weight:
							126 lbs (57 kg)","Born:
							1977-04-30,Birthplace:
							Nottingham, England,Height:
							5 ft 5 in (165 cm),Weight:
							126 lbs (57 kg)"
"Katrina Ko",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"123,444","
				11572			",NA,NA,NA,"Weight:
							126 lbs (57 kg)","Birthplace:
							Vancouver, British Columbia, Canada,Height:
							5 ft 5 in (165 cm),Weight:
							126 lbs (57 kg)"
"Vanessa Fire",NA,NA,NA,NA,NA,NA,NA,NA,"159","
				11574			",NA,NA,NA,NA,""
"Jazmin Ryder",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"1,002,797","
				11578			",NA,NA,NA,NA,"Born:
							1989-11-28,Height:
							5 ft 8 in (173 cm)"
"Kody Kay",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"1,662,445","
				11579			",NA,NA,NA,NA,"Born:
							1988-12-06,Birthplace:
							Cochise, Arizona, United States of America,Height:
							5 ft 5 in (165 cm)"
"Lunae Yin",NA,NA,NA,"Height:
							4 ft 11 in (150 cm)",NA,NA,NA,NA,"111,657","
				11581			",NA,NA,NA,"Weight:
							99 lbs (45 kg)","Birthplace:
							Madrid, Spain,Height:
							4 ft 11 in (150 cm),Weight:
							99 lbs (45 kg)"
"Kaitlyn Andrews",NA,NA,NA,NA,NA,NA,NA,NA,"150,791","
				11582			",NA,NA,NA,NA,""
"Violet Love",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"34,894","
				11583			",NA,NA,NA,"Weight:
							112 lbs (51 kg)","Born:
							1975-08-21,Birthplace:
							San Antonio, Texas, United States of America,Height:
							5 ft 1 in (155 cm),Weight:
							112 lbs (51 kg)"
"Savannah Tyler",NA,NA,NA,NA,NA,NA,NA,NA,"76,520","
				11585			",NA,NA,NA,NA,""
"Buffy Van Norton",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"175,269","
				11586			",NA,NA,NA,"Weight:
							110 lbs (50 kg)","Born:
							1979-05-24,Birthplace:
							Newport Beach, California, United States of America,Height:
							5 ft 9 in (175 cm),Weight:
							110 lbs (50 kg)"
"Sochee Mala",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"566,336","
				11588			",NA,NA,NA,NA,"Born:
							1982-05-26,Birthplace:
							Berkeley, California, United States of America,Height:
							5 ft 10 in (178 cm)"
"Gabriella Varvara",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"10,741","
				11590			",NA,NA,NA,"Weight:
							108 lbs (49 kg)","Born:
							1998-03-04,Birthplace:
							Latvia,Height:
							5 ft 2 in (157 cm),Weight:
							108 lbs (49 kg)"
"Angelina DiCarlo",NA,NA,NA,NA,NA,NA,NA,NA,"16,132","
				11592			",NA,NA,NA,NA,""
"Natasha Blu",NA,NA,NA,NA,NA,NA,NA,NA,"3,110","
				11593			",NA,NA,NA,NA,"Birthplace:
							United States of America"
"Mikasa Shimizu",NA,NA,NA,NA,NA,NA,NA,NA,"25,459","
				11594			",NA,NA,NA,NA,""
"Gabi Volpi",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"723,363","
				11597			",NA,NA,NA,"Weight:
							116 lbs (53 kg)","Birthplace:
							Brazil,Height:
							5 ft 5 in (165 cm),Weight:
							116 lbs (53 kg)"
"Ember Haze",NA,NA,NA,NA,NA,NA,NA,NA,"18,743","
				11598			",NA,NA,NA,NA,"Born:
							1975-01-28,Birthplace:
							Kalamazoo, Michigan, United States of America"
"Yui Ayana",NA,NA,NA,NA,NA,NA,NA,NA,"126,843","
				11599			",NA,NA,NA,NA,""
"Martina Mercedes",NA,NA,NA,NA,NA,NA,NA,NA,"16,717","
				11600			",NA,NA,NA,NA,"Born:
							1977-12-18,Birthplace:
							Romania"
"Delta Force",NA,NA,NA,NA,NA,NA,NA,NA,"15,763","
				11604			",NA,NA,NA,NA,""
"Sandy Rae",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"90,197","
				11605			",NA,NA,NA,NA,"Birthplace:
							Russia,Height:
							5 ft 4 in (163 cm)"
"Stacy Da Silva",NA,NA,NA,NA,NA,NA,NA,NA,"10,294","
				11606			",NA,NA,NA,NA,""
"Ami Rodgers",NA,NA,NA,NA,NA,NA,NA,NA,"39,044","
				11608			",NA,NA,NA,NA,""
"Diana Holt",NA,NA,NA,NA,NA,NA,NA,NA,"358,014","
				11611			",NA,NA,NA,NA,""
"Melissa Jacobs",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"5,928,730","
				3309			","682.516129032258","29760.5483870968","75.2258064516129","Weight:
							110 lbs (50 kg)","Born:
							1981-05-10,Birthplace:
							Milwaukee, Wisconsin, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							110 lbs (50 kg)"
"Eva Kent",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"5,562,736","
				3310			","1096.5","11046.5","77.5","Weight:
							112 lbs (51 kg)","Birthplace:
							Romania,Height:
							5 ft 5 in (165 cm),Weight:
							112 lbs (51 kg)"
"Jade Hsu",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"4,720,033","
				3313			","549.75","18384.5","79.25","Weight:
							110 lbs (50 kg)","Born:
							1981-07-23,Birthplace:
							Charlotte, North Carolina, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							110 lbs (50 kg)"
"Chloe Taylor",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"7,771,459","
				3314			",NA,NA,NA,"Weight:
							126 lbs (57 kg)","Height:
							5 ft 5 in (165 cm),Weight:
							126 lbs (57 kg)"
"Crystal Clear BBW",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"3,364,695","
				3315			","532.53125","52493.59375","80.125","Weight:
							225 lbs (102 kg)","Born:
							1984-11-29,Birthplace:
							Baltimore, Maryland, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							225 lbs (102 kg)"
"Loan Laure",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"6,492,376","
				3316			",NA,NA,NA,"Weight:
							117 lbs (53 kg)","Born:
							1978-08-07,Birthplace:
							Nanterre, France,Height:
							5 ft 6 in (168 cm),Weight:
							117 lbs (53 kg)"
"Kelly Kelly",NA,NA,NA,NA,NA,NA,NA,NA,"2,147,489","
				3317			",NA,NA,NA,NA,""
"Dolly Golden",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"6,504,527","
				3318			",NA,NA,NA,NA,"Born:
							1973-08-28,Birthplace:
							Annecy, France,Height:
							5 ft 5 in (165 cm)"
"Demi Lowe",NA,NA,NA,NA,NA,NA,NA,NA,"2,468,046","
				3319			",NA,NA,NA,NA,""
"Roxanne Hall",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"24,776,860","
				3321			","1136.97435897436","34626.5","76.9318181818182","Weight:
							130 lbs (59 kg)","Born:
							1976-03-17,Birthplace:
							Essex, England,Height:
							5 ft 9 in (175 cm),Weight:
							130 lbs (59 kg)"
"Franziska Facella",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"5,254,624","
				3323			","214.375","22055.625","81.5","Weight:
							106 lbs (48 kg)","Born:
							1989-08-28,Birthplace:
							Bayern, Germany,Height:
							5 ft 6 in (168 cm),Weight:
							106 lbs (48 kg)"
"Carly Parker",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"10,561,483","
				3324			","1227.34693877551","80434.96","78.02","Weight:
							110 lbs (50 kg)","Born:
							1985-05-31,Birthplace:
							Florida, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							110 lbs (50 kg)"
"Cecilia Scott",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"1,582,415","
				3325			",NA,NA,NA,"Weight:
							125 lbs (57 kg)","Born:
							1996-01-03,Birthplace:
							Hungary,Height:
							5 ft 5 in (165 cm),Weight:
							125 lbs (57 kg)"
"Little Cinderella",NA,NA,NA,"Height:
							4 ft 11 in (150 cm)",NA,NA,NA,NA,"6,506,170","
				3326			",NA,NA,NA,"Weight:
							106 lbs (48 kg)","Born:
							1976-05-18,Birthplace:
							Houston, Texas, United States of America,Height:
							4 ft 11 in (150 cm),Weight:
							106 lbs (48 kg)"
"Nikki Ashton",NA,"1969-10-22",NA,"Height:
						5 ft 3 in (160 cm)",NA,NA,NA,NA,"1,643,893","
				3327			",NA,NA,NA,"Weight:
						115 lbs (52 kg)","Born:
						1969-10-22,Birthplace:
						Houston, Tx, United States of America,Height:
						5 ft 3 in (160 cm),Weight:
						115 lbs (52 kg)"
"Ora Young","Gender:
							Female","Jul 24, 1995","Measurements:
								--",NA,"Pornstar Profile Views:
								88","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        440        ","
        615K        ","
                                                            
                                                    3328            ",NA,NA,NA,NA,"Gender:
							Female,Birthday:
							Jul 24, 1995,Age:
							23,Measurements:
								--,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								88,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                3,612,Videos Watched:
                                16,Joined:
                                7 months ago"
"Gia Vendetti",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"1,033,501","
				3329			",NA,NA,NA,"Weight:
							114 lbs (52 kg)","Born:
							1991-11-19,Birthplace:
							Los Angeles, California, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							114 lbs (52 kg)"
"SaRenna Lee",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"241,945","
				3330			",NA,NA,NA,NA,"Born:
							1971-02-17,Birthplace:
							Jacksonville, Florida, United States of America,Height:
							5 ft 2 in (157 cm)"
"Cherrydana","Gender:
							Female","Mar 29, 1987","Measurements:
								--",NA,"Pornstar Profile Views:
								84","Career Status:
							Active
                        ","Interested in:
							Girls","
        2K        ","
        122K        ","
                                                            
                                                    3331            ",NA,NA,NA,NA,"Gender:
							Female,Birthday:
							Mar 29, 1987,Age:
							31,Measurements:
								--,Interests and hobbies:
								Salsa dancing, Fitness, Photography and flying drones,Relationship status:
							Single,Interested in:
							Girls,Hometown:
							Sydney,City and Country:
							Sydney, AU,Turn Ons:
								Sense of humour and confidence,Turn Offs:
								Cockiness and Arrogance,Pornstar Profile Views:
								84,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                7,426,Videos Watched:
                                12,Joined:
                                11 months ago"
"Shauna Sand",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"87,722","
				3333			",NA,NA,NA,"Weight:
							99 lbs (45 kg)","Born:
							1971-09-02,Birthplace:
							California, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							99 lbs (45 kg)"
"Kiara Gold",NA,NA,NA,NA,NA,NA,NA,NA,"149,692","
				3334			",NA,NA,NA,NA,"Born:
							1997-10-13,Birthplace:
							Russia"
"Lucianna Karel",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"16,119,304","
				3335			","736.5","472793.75","82","Weight:
							110 lbs (50 kg)","Born:
							1992-03-30,Birthplace:
							Bratislava, Slovakia,Height:
							5 ft 4 in (163 cm),Weight:
							110 lbs (50 kg)"
"London Reigns",NA,NA,NA,NA,NA,NA,NA,NA,"4,511,049","
				3336			",NA,NA,NA,NA,""
"Mona Lisa",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"2,864,554","
				3337			",NA,NA,NA,NA,"Born:
							1976-12-31,Height:
							5 ft 10 in (178 cm)"
"Mai Ly",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"3,453,107","
				3338			",NA,NA,NA,"Weight:
							115 lbs (52 kg)","Born:
							1988-12-31,Birthplace:
							San Juan Capistrano, California, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							115 lbs (52 kg)"
"Dorismar",NA,NA,NA,NA,NA,NA,NA,NA,"463","
				3339			",NA,NA,NA,NA,"Birthplace:
							Buenos Aires, Argentina"
"Mary Jane Mayhem",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"27,590,665","
				3341			","710.5","110416","84","Weight:
							108 lbs (49 kg)","Born:
							1994-04-12,Birthplace:
							Burbank, California, United States of America,Height:
							5 ft 3 in (160 cm),Weight:
							108 lbs (49 kg)"
"Stella Fox",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"2,015,570","
				3342			",NA,NA,NA,"Weight:
							159 lbs (72 kg)","Born:
							1986-10-04,Birthplace:
							Czech Republic,Height:
							5 ft 7 in (170 cm),Weight:
							159 lbs (72 kg)"
"Elizabeth Anne",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"957,093","
				3343			",NA,NA,NA,"Weight:
							121 lbs (55 kg)","Born:
							1987-03-07,Birthplace:
							Houston, Texas, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							121 lbs (55 kg)"
"Kat Monroe","Gender:
							Female","Jul 14, 1995","Measurements:
								32B-24-32","Height:
								5 ft 4 in (163 cm)","Pornstar Profile Views:
								52322","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        2K        ","
        2.1M        ","
                                                            
                                                    3344            ","603.333333333333","284814.666666667","76","Weight:
								121 lbs (55 kg)","Gender:
							Female,Birthday:
							Jul 14, 1995,Age:
							23,Measurements:
								32B-24-32,Height:
								5 ft 4 in (163 cm),Weight:
								121 lbs (55 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Relationship status:
							Taken,Interested in:
							Guys and Girls,City and Country:
							los angeles, US,Pornstar Profile Views:
								52322,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                1,885,Videos Watched:
                                8,Joined:
                                10 months ago"
"Helly Mae Hellfire",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"19,702,742","
				3345			","642.357142857143","36406.8095238095","73.4523809523809","Weight:
							99 lbs (45 kg)","Born:
							1983-06-16,Birthplace:
							Toronto, Ontario, Canada,Height:
							5 ft 3 in (160 cm),Weight:
							99 lbs (45 kg)"
"                            Isla White","
                                Gender:
							    
                                    Female                                
                            ","
                                    Apr 5, 1993                                ","
                                Measurements:
								
                                32-25-34                                
                            ","Height:
								
                                    64                                
                            ",NA,"
                            Career Status:
							
                            Active                            
                        ","
                                Interested in:
							    
                                Guys and Girls                                
                            ",NA,"
        7.2M        ",NA,NA,NA,NA,"Weight:
								
                                    112                                
                            ","
                                Gender:
							    
                                    Female                                
                            ,
                                Birthday:
							    
                                    Apr 5, 1993                                
                            ,
                                Birth Place:
                                
                                    United Kingdom                                
                            ,
                                Age:
							    
                                    25                                
                            ,
                                Measurements:
								
                                32-25-34                                
                            ,Height:
								
                                    64                                
                            ,Weight:
								
                                    112                                
                            ,
                                Ethnicity:
								
                                    White                                
                            ,Hair Color:
								
                                    Blonde                                
                            ,
                                Fake Boobs:
								
                                No                                
                            ,
                                Tattoos:
                                
                                Yes                                
                            ,
                                Piercings:
							    
                                Yes                                
                            ,
                                Relationship status:
							    
                                Open                                
                            ,
                                Interested in:
							    
                                Guys and Girls                                
                            ,
                                City and Country:
							    
                                London, GB                                
                            ,
                            Career Status:
							
                            Active                            
                        ,Career Start and End:
							
								2015 to Present							
						,
                                Profile Views:
                                270,377
                            ,
                                Videos Watched:
                                481
                            ,
                                Joined:
                                1 year ago
                            "
"Dominica Phoenix",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"14,766,104","
				3347			","549.266666666667","91084.1","83.8666666666667","Weight:
							130 lbs (59 kg)","Born:
							1989-12-12,Birthplace:
							Russia,Height:
							5 ft 5 in (165 cm),Weight:
							130 lbs (59 kg)"
