"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Lana Rhoades","Gender:
							Female","Sep 6, 1996","Measurements:
								34D-23-35","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								23,271,524","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        353K        ","
        356M        ","
                                                            
                                                    1            ","Weight:
								115 lbs (52 kg)","Gender:
							Female,Birthday:
							Sep 6, 1996,Age:
							22,Measurements:
								34D-23-35,Height:
								5 ft 5 in (165 cm),Weight:
								115 lbs (52 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								23,271,524,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                2,284,672,Videos Watched:
                                14,Joined:
                                1 year ago","1"
"Mia Khalifa",NA,"1993-02-10",NA,"Height:
						5 ft 2 in (157 cm)",NA,NA,NA,NA,"580,854,249","
				2			","Weight:
						121 lbs (55 kg)","Born:
						1993-02-10,Birthplace:
						Beirut, Lebanon,Height:
						5 ft 2 in (157 cm),Weight:
						121 lbs (55 kg)","0"
"Riley Reid","Gender:
							Female","Jul 9, 1991","Measurements:
								32A-25-36","Height:
								5 ft 4 in (163 cm)","Pornstar Profile Views:
								70,699,753","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        680K        ","
        788M        ","
                                                            
                                                    3            ","Weight:
								108 lbs (49 kg)","Gender:
							Female,Birthday:
							Jul 9, 1991,Age:
							27,Star Sign:
							Cancer,Measurements:
								32A-25-36,Height:
								5 ft 4 in (163 cm),Weight:
								108 lbs (49 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde, Brunette,Tattoos:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								70,699,753,Career Status:
							Active
                        ,Career Start and End:
							
								2011 to
								Present							
						,Profile Views:
                                2,203,338,Videos Watched:
                                65,Joined:
                                2 years ago","1"
"Lisa Ann","Gender:
							Female","May 9, 1972","Measurements:
								38DD-20-34","Height:
								5 ft 2 in (157 cm)","Pornstar Profile Views:
								75,531,899","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        401K        ","
        642M        ","
                                                            
                                                    4            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							May 9, 1972,Age:
							46,Star Sign:
							Taurus,Measurements:
								38DD-20-34,Height:
								5 ft 2 in (157 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Italian,Hair Color:
								Brunette,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Everywhere!, US,Pornstar Profile Views:
								75,531,899,Career Status:
							Active
                        ,Career Start and End:
							
								1994 to
								Present							
						,Profile Views:
                                829,140,Videos Watched:
                                4,Joined:
                                1 year ago","1"
"Mia Malkova","Gender:
							Female","Jul 1, 1992","Measurements:
								34C-26-36","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								49,135,607","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        500K        ","
        498M        ","
                                                            
                                                    7            ","Weight:
								119 lbs (54 kg)","Gender:
							Female,Birthday:
							Jul 1, 1992,Age:
							26,Star Sign:
							Gemini,Measurements:
								34C-26-36,Height:
								5 ft 7 in (170 cm),Weight:
								119 lbs (54 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Piercings:
							Yes,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								49,135,607,Career Status:
							Active
                        ,Career Start and End:
							
								2012 to
								Present							
						,Profile Views:
                                1,207,046,Videos Watched:
                                255,Joined:
                                8 months ago","1"
"Brandi Love","Gender:
							Female","Mar 29, 1973","Measurements:
								36C-25-36","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								52,098,691","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        368K        ","
        631M        ","
                                                            
                                                    8            ","Weight:
								126 lbs (57 kg)","Gender:
							Female,Birthday:
							Mar 29, 1973,Age:
							45,Star Sign:
							Aries,Measurements:
								36C-25-36,Height:
								5 ft 7 in (170 cm),Weight:
								126 lbs (57 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								I am an adrenaline junkie and love sports. From water skiing to mountain biking to weight training. Don't get me wrong, I also love a great meal out with fine wine. Travel is also a favorite!,Relationship status:
							Open,Interested in:
							Guys and Girls,Hometown:
							Detroit,City and Country:
							Wake Forest, US,Turn Ons:
								People who exude sexual confidence. I like people who are happy and intelligent and want the best for themselves and their friends xoxo,Turn Offs:
								hateful and judgmental people. I do not like people who are insecure and allow those insecurities to lead them to doing rude and down right bad things to others.,Pornstar Profile Views:
								52,098,691,Career Status:
							Active
                        ,Career Start and End:
							
								2007 to
								Present							
						,Profile Views:
                                1,090,530,Videos Watched:
                                359,Joined:
                                7 years ago","1"
"Lena The Plug","Gender:
							Female","Jun 1, 1991","Measurements:
								--",NA,"Pornstar Profile Views:
								13,222","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        35.2K        ","
        11.3M        ","
                                                            
                                                    14            ",NA,"Gender:
							Female,Birthday:
							Jun 1, 1991,Age:
							27,Measurements:
								--,Interests and hobbies:
								true crime, fitness, social psychology,Relationship status:
							Taken,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								13,222,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                855,202,Videos Watched:
                                79,Joined:
                                3 months ago","1"
"Lela Star","Gender:
							Female","Jun 13, 1985","Measurements:
								34D-25-32","Height:
								5 ft 1 in (155 cm)","Pornstar Profile Views:
								23,204,223","Career Status:
							Active
                        ","Interested in:
							Guys","
        264K        ","
        228M        ","
                                                            
                                                    9            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Jun 13, 1985,Age:
							33,Star Sign:
							Gemini,Measurements:
								34D-25-32,Height:
								5 ft 1 in (155 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Cuban,Hair Color:
								Brunette,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Vegan food, spin class, pilates, my chihuahua.,Relationship status:
							Open,Interested in:
							Guys,City and Country:
							Los Angeles, US,Turn Ons:
								Ass play,Pornstar Profile Views:
								23,204,223,Career Status:
							Active
                        ,Career Start and End:
							
								2006 to
								Present							
						,Profile Views:
                                885,887,Videos Watched:
                                156,Joined:
                                5 months ago","1"
"Abella Danger",NA,"1995-11-19",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"446,364,012","
				5			","Weight:
						130 lbs (59 kg)","Born:
						1995-11-19,Birthplace:
						Miami, Florida, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						130 lbs (59 kg)","0"
"Nicole Aniston","Gender:
							Female","Sep 9, 1987","Measurements:
								34D-22-36","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								51,637,193","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        339K        ","
        412M        ","
                                                            
                                                    12            ","Weight:
								121 lbs (55 kg)","Gender:
							Female,Birthday:
							Sep 9, 1987,Age:
							31,Star Sign:
							Virgo,Measurements:
								34D-22-36,Height:
								5 ft 3 in (160 cm),Weight:
								121 lbs (55 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Plant based food, good music, books, documentaries, microbiology, psychology, cannabis.,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Temecula,City and Country:
							San Diego, US,Pornstar Profile Views:
								51,637,193,Career Status:
							Active
                        ,Career Start and End:
							
								2010 to
								Present							
						,Profile Views:
                                881,718,Videos Watched:
                                9,Joined:
                                6 months ago","1"
