"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Juicy Pearl",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"6,079,843","
				5173			","Weight:
							110 lbs (50 kg)","Born:
							1986-01-23,Birthplace:
							Quebec City, Quebec, Canada,Height:
							5 ft 5 in (165 cm),Weight:
							110 lbs (50 kg)","0"
"Dream Kelly",NA,NA,NA,NA,NA,NA,NA,NA,"164,018","
				5844			",NA,"Born:
							1985-08-08","0"
"Jamie Daniels","Gender:
							Female","Jan 1, 1977","Measurements:
								--",NA,"Pornstar Profile Views:
								135","Career Status:
							Active
                        ","Interested in:
							Guys","
        2.4K        ","
        862K        ","
                                                            
                                                    4414            ",NA,"Gender:
							Female,Birthday:
							Jan 1, 1977,Age:
							41,Measurements:
								--,Relationship status:
							Taken,Interested in:
							Guys,City and Country:
							Brooklyn, US,Pornstar Profile Views:
								135,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                19,595,Videos Watched:
                                49,Joined:
                                1 year ago","1"
"Jenna Ashley",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"8,761,486","
				5121			","Weight:
							128 lbs (58 kg)","Born:
							1994-02-12,Birthplace:
							United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							128 lbs (58 kg),Website:
							Official Site","0"
"Lucy Anne",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"784,013","
				5423			","Weight:
							119 lbs (54 kg)","Born:
							1983-10-21,Birthplace:
							Czech Republic,Height:
							5 ft 3 in (160 cm),Weight:
							119 lbs (54 kg)","0"
"Airi Kijima",NA,NA,NA,"Height:
							5 ft 3 in (160 cm)",NA,NA,NA,NA,"56,010","
				4355			",NA,"Born:
							1988-12-24,Birthplace:
							Tokyo, Japan,Height:
							5 ft 3 in (160 cm)","0"
"Vanessa Monet",NA,NA,NA,"Height:
							5 ft 7 in (170 cm)",NA,NA,NA,NA,"21,173,144","
				5252			","Weight:
							126 lbs (57 kg)","Born:
							1985-07-08,Birthplace:
							Fresno, California, United States of America,Height:
							5 ft 7 in (170 cm),Weight:
							126 lbs (57 kg)","0"
"Sarah Vickers",NA,NA,NA,NA,NA,NA,NA,NA,"2,711,559","
				4560			",NA,"","0"
"Katrin Kozy",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"12,429,530","
				4809			","Weight:
							117 lbs (53 kg)","Born:
							1985-09-19,Birthplace:
							Vychodocesky Kraj, Czech Republic,Height:
							5 ft 6 in (168 cm),Weight:
							117 lbs (53 kg)","0"
"Rachel Rotten",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"2,325,058","
				4835			","Weight:
							99 lbs (45 kg)","Born:
							1983-10-08,Birthplace:
							San Francisco, California, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							99 lbs (45 kg)","0"
"Tricia Oaks",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"6,095,482","
				4433			","Weight:
							128 lbs (58 kg)","Born:
							1984-07-21,Birthplace:
							California, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							128 lbs (58 kg)","0"
"Claudia Downs",NA,NA,NA,NA,NA,NA,NA,NA,"4,574,378","
				4932			",NA,"","0"
"Star E Knight",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"1,693,402","
				5554			","Weight:
							110 lbs (50 kg)","Born:
							1978-06-27,Birthplace:
							Hazelton, Pennsylvania, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							110 lbs (50 kg)","0"
"Mai Lin",NA,NA,NA,NA,NA,NA,NA,NA,"1,033,704","
				4847			",NA,"","0"
"Texas Presley",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"2,785,453","
				4839			","Weight:
							126 lbs (57 kg)","Born:
							1981-07-22,Birthplace:
							Texas, United States of America,Height:
							5 ft 8 in (173 cm),Weight:
							126 lbs (57 kg)","0"
"Charlie James",NA,NA,NA,"Height:
							5 ft 10 in (178 cm)",NA,NA,NA,NA,"505,410","
				5631			","Weight:
							161 lbs (73 kg)","Born:
							1978-06-27,Birthplace:
							Apple Valley, United States of America,Height:
							5 ft 10 in (178 cm),Weight:
							161 lbs (73 kg)","0"
"Lina Diamond","Gender:
							Female","Feb 27, 1994","Measurements:
								34C--","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								26,568","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        6.1K        ","
        2M        ","
                                                            
                                                    4853            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Feb 27, 1994,Age:
							24,Measurements:
								34C--,Height:
								5 ft 5 in (165 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Austrian,Hair Color:
								Brunette,Tattoos:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Linz,City and Country:
							Linz, AT,Pornstar Profile Views:
								26,568,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                46,477,Videos Watched:
                                46,Joined:
                                2 years ago","1"
"Coco Velvett",NA,"1979-07-19",NA,"Height:
						5 ft 8 in (173 cm)",NA,NA,NA,NA,"10,410,775","
				5254			","Weight:
						123 lbs (56 kg)","Born:
						1979-07-19,Birthplace:
						Newport Beach, California, United States of America,Height:
						5 ft 8 in (173 cm),Weight:
						123 lbs (56 kg)","0"
"Andrea Sky","Gender:
							Female","Dec 25, 1985","Measurements:
								--",NA,"Pornstar Profile Views:
								251,711","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        24.8K        ","
        15.4M        ","
                                                            
                                                    4456            ",NA,"Gender:
							Female,Birthday:
							Dec 25, 1985,Age:
							32,Measurements:
								--,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Kansas City, US,Pornstar Profile Views:
								251,711,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                310,463,Videos Watched:
                                3,158,Joined:
                                3 years ago","1"
"Kara Price",NA,NA,NA,NA,NA,NA,NA,NA,"8,559,438","
				4348			",NA,"","0"
"Desi Foxx",NA,NA,NA,NA,NA,NA,NA,NA,"2,701,366","
				4999			",NA,"","0"
"Wanda Curtis",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"1,761,356","
				4398			","Weight:
							121 lbs (55 kg)","Born:
							1975-11-07,Birthplace:
							Hungary,Height:
							5 ft 9 in (175 cm),Weight:
							121 lbs (55 kg)","0"
