"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Lana Rhoades","Gender:
							Female","Sep 6, 1996","Measurements:
								34D-23-35","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								23,272,225","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        354K        ","
        358M        ","
                                                            
                                                    1            ","Weight:
								115 lbs (52 kg)","Gender:
							Female,Birthday:
							Sep 6, 1996,Age:
							22,Measurements:
								34D-23-35,Height:
								5 ft 5 in (165 cm),Weight:
								115 lbs (52 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								23,272,225,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                2,395,625,Videos Watched:
                                14,Joined:
                                1 year ago","1"
"Mia Khalifa",NA,"1993-02-10",NA,"Height:
						5 ft 2 in (157 cm)",NA,NA,NA,NA,"582,131,075","
				2			","Weight:
						121 lbs (55 kg)","Born:
						1993-02-10,Birthplace:
						Beirut, Lebanon,Height:
						5 ft 2 in (157 cm),Weight:
						121 lbs (55 kg)","0"
"Riley Reid","Gender:
							Female","Jul 9, 1991","Measurements:
								32A-25-36","Height:
								5 ft 4 in (163 cm)","Pornstar Profile Views:
								70,700,263","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        681K        ","
        789M        ","
                                                            
                                                    3            ","Weight:
								108 lbs (49 kg)","Gender:
							Female,Birthday:
							Jul 9, 1991,Age:
							27,Star Sign:
							Cancer,Measurements:
								32A-25-36,Height:
								5 ft 4 in (163 cm),Weight:
								108 lbs (49 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde, Brunette,Tattoos:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								70,700,263,Career Status:
							Active
                        ,Career Start and End:
							
								2011 to
								Present							
						,Profile Views:
                                2,273,923,Videos Watched:
                                65,Joined:
                                2 years ago","1"
"Abella Danger",NA,"1995-11-19",NA,"Height:
						5 ft 4 in (163 cm)",NA,NA,NA,NA,"447,888,661","
				4			","Weight:
						130 lbs (59 kg)","Born:
						1995-11-19,Birthplace:
						Miami, Florida, United States of America,Height:
						5 ft 4 in (163 cm),Weight:
						130 lbs (59 kg)","0"
"Mia Malkova","Gender:
							Female","Jul 1, 1992","Measurements:
								34C-26-36","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								49,135,957","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        501K        ","
        499M        ","
                                                            
                                                    5            ","Weight:
								119 lbs (54 kg)","Gender:
							Female,Birthday:
							Jul 1, 1992,Age:
							26,Star Sign:
							Gemini,Measurements:
								34C-26-36,Height:
								5 ft 7 in (170 cm),Weight:
								119 lbs (54 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Piercings:
							Yes,Relationship status:
							Open,Interested in:
							Guys and Girls,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								49,135,957,Career Status:
							Active
                        ,Career Start and End:
							
								2012 to
								Present							
						,Profile Views:
                                1,264,188,Videos Watched:
                                257,Joined:
                                8 months ago","1"
"Brandi Love","Gender:
							Female","Mar 29, 1973","Measurements:
								36C-25-36","Height:
								5 ft 7 in (170 cm)","Pornstar Profile Views:
								52,098,991","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        369K        ","
        632M        ","
                                                            
                                                    6            ","Weight:
								126 lbs (57 kg)","Gender:
							Female,Birthday:
							Mar 29, 1973,Age:
							45,Star Sign:
							Aries,Measurements:
								36C-25-36,Height:
								5 ft 7 in (170 cm),Weight:
								126 lbs (57 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								I am an adrenaline junkie and love sports. From water skiing to mountain biking to weight training. Don't get me wrong, I also love a great meal out with fine wine. Travel is also a favorite!,Relationship status:
							Open,Interested in:
							Guys and Girls,Hometown:
							Detroit,City and Country:
							Wake Forest, US,Turn Ons:
								People who exude sexual confidence. I like people who are happy and intelligent and want the best for themselves and their friends xoxo,Turn Offs:
								hateful and judgmental people. I do not like people who are insecure and allow those insecurities to lead them to doing rude and down right bad things to others.,Pornstar Profile Views:
								52,098,991,Career Status:
							Active
                        ,Career Start and End:
							
								2007 to
								Present							
						,Profile Views:
                                1,140,961,Videos Watched:
                                359,Joined:
                                7 years ago","1"
"Lisa Ann","Gender:
							Female","May 9, 1972","Measurements:
								38DD-20-34","Height:
								5 ft 2 in (157 cm)","Pornstar Profile Views:
								75,532,182","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        402K        ","
        643M        ","
                                                            
                                                    7            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							May 9, 1972,Age:
							46,Star Sign:
							Taurus,Measurements:
								38DD-20-34,Height:
								5 ft 2 in (157 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Italian,Hair Color:
								Brunette,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Everywhere!, US,Pornstar Profile Views:
								75,532,182,Career Status:
							Active
                        ,Career Start and End:
							
								1994 to
								Present							
						,Profile Views:
                                869,788,Videos Watched:
                                4,Joined:
                                1 year ago","1"
"Lela Star","Gender:
							Female","Jun 13, 1985","Measurements:
								34D-25-32","Height:
								5 ft 1 in (155 cm)","Pornstar Profile Views:
								23,204,431","Career Status:
							Active
                        ","Interested in:
							Guys","
        264K        ","
        229M        ","
                                                            
                                                    9            ","Weight:
								110 lbs (50 kg)","Gender:
							Female,Birthday:
							Jun 13, 1985,Age:
							33,Star Sign:
							Gemini,Measurements:
								34D-25-32,Height:
								5 ft 1 in (155 cm),Weight:
								110 lbs (50 kg),Ethnicity:
								White,Background:
								Cuban,Hair Color:
								Brunette,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Vegan food, spin class, pilates, my chihuahua.,Relationship status:
							Open,Interested in:
							Guys,City and Country:
							Los Angeles, US,Turn Ons:
								Ass play,Pornstar Profile Views:
								23,204,431,Career Status:
							Active
                        ,Career Start and End:
							
								2006 to
								Present							
						,Profile Views:
                                932,762,Videos Watched:
                                158,Joined:
                                5 months ago","1"
"Alexis Texas",NA,"1985-05-25",NA,"Height:
						5 ft 8 in (173 cm)",NA,NA,NA,NA,"378,159,614","
				10			","Weight:
						130 lbs (59 kg)","Born:
						1985-05-25,Birthplace:
						Castroville, Texas, United States of America,Height:
						5 ft 8 in (173 cm),Weight:
						130 lbs (59 kg)","0"
"Nicole Aniston","Gender:
							Female","Sep 9, 1987","Measurements:
								34D-22-36","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								51,637,459","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        340K        ","
        412M        ","
                                11            ","Weight:
								121 lbs (55 kg)","Gender:
							Female,Birthday:
							Sep 9, 1987,Age:
							31,Star Sign:
							Virgo,Measurements:
								34D-22-36,Height:
								5 ft 3 in (160 cm),Weight:
								121 lbs (55 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Piercings:
							Yes,Interests and hobbies:
								Plant based food, good music, books, documentaries, microbiology, psychology, cannabis.,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							Temecula,City and Country:
							San Diego, US,Pornstar Profile Views:
								51,637,459,Career Status:
							Active
                        ,Career Start and End:
							
								2010 to
								Present							
						,Profile Views:
                                922,293,Videos Watched:
                                9,Joined:
                                6 months ago","1"
